task_Number,endpoints_location,bandwidth_demand
0,"[9, 11, 10, 7]","[0.32440693899390494, 1.6256252257025718, 0.8714403486308815, 0.6325587305450825]"
1,"[9, 8, 7, 6]","[1.0448384883667035, 0.6109051389674329, 0.04551601125768989, 0.8146584670565896]"
2,"[10, 8, 9, 6]","[1.3058344990511952, 0.7628211952378168, 1.8119707621907952, 0.5099687083569293]"
3,"[7, 9, 6, 10]","[0.3753460063079621, 1.6657056082562443, 2.070624215617662, 1.7125887636155381]"
4,"[11, 9, 8, 7]","[1.7193752708616057, 1.5471968555524913, 1.2845177337979639, 2.570173124116355]"
5,"[10, 8, 9]","[1.6655131991822367, 2.9232754434950694, 2.4619907747237377]"
6,[11],[1.9931520880545532]
7,"[11, 10]","[2.513628007231775, 1.6710552384417134]"
8,[9],[1.441292118120421]
9,"[7, 8, 11]","[0.9075645200853134, 0.07838444350257401, 1.558714849730329]"
10,"[9, 8, 7]","[0.007833919639316234, 1.4568048651554197, 1.6822815404386418]"
11,[8],[1.0532022009283193]
12,"[6, 10, 11]","[0.811046377099445, 0.587006711401747, 1.2626361137867792]"
13,"[9, 11, 7, 8]","[1.021784052855563, 1.6051920486601268, 1.2864785540211336, 2.7662373018294257]"
14,"[7, 6, 9]","[2.6486961603256978, 0.5155025786294626, 0.05603734173223385]"
15,[9],[1.0495352768990514]
16,"[11, 8, 10]","[1.8455185558525036, 3.302762853830116, 1.1269851861423725]"
17,"[7, 10, 9]","[0.1988666398413912, 2.155650046218157, 0.27198345557983516]"
18,[11],[0.6660051815405431]
19,"[8, 9, 7, 11]","[1.8774954051025696, 1.241181321690161, 0.23007732151042282, 0.4401480561644282]"
20,"[8, 9, 11]","[2.41136165801485, 0.3348574623577435, 1.0862135393483099]"
21,"[6, 10, 9, 11]","[1.3541406441489163, 1.8066546834377393, 1.0555156913195611, 1.3635977133553756]"
22,[11],[1.1861066240966598]
23,"[11, 10, 8]","[0.3740128063478717, 1.0089842526937913, 2.1786218298313873]"
24,"[7, 10, 11, 8]","[1.6804581332516002, 0.5706361659564287, 0.12900902146273963, 1.4557155509139617]"
25,"[6, 9]","[0.43442640109508224, 3.245208342837174]"
26,"[6, 11, 8, 9]","[1.996433343770004, 2.9139399035663542, 1.6350069151338382, 1.0672603326719259]"
27,"[7, 6, 9, 10]","[1.0760164364994156, 0.9513470317655417, 0.9491636328605494, 0.2569456744043086]"
28,"[11, 10]","[1.926722806187214, 1.1906289545516013]"
29,"[8, 7, 11, 10]","[0.5888012966838034, 1.8111985306602643, 0.9370724123068459, 1.7663087367488988]"
30,"[6, 9]","[2.4536574274944454, 1.9625827148811599]"
31,"[11, 7, 10]","[0.15025836577072404, 2.0994146502056816, 1.194378797377875]"
32,"[10, 11, 9, 8]","[0.9203640632466387, 0.0026186404480882386, 1.5542407416018509, 0.4181705932468365]"
33,"[7, 9]","[0.4293510990524696, 3.1133569619332953]"
34,"[11, 8, 10]","[2.519303361495057, 1.3477213065880393, 1.9089855393620732]"
35,[8],[2.3581496118881575]
36,"[7, 6, 11, 10]","[0.4947337502024197, 0.7193290938425432, 1.9990218513367348, 1.353048675875911]"
37,[10],[0.406943447128833]
38,"[10, 11]","[0.969754426826356, 1.5299372328496763]"
39,"[9, 7, 6]","[0.5881975724453725, 1.1326393964170631, 0.3836118973197702]"
