,valuation coefficient
0,19.956994634064806
1,29.34281354866575
2,10.980086602081247
3,19.42048971245183
4,17.868280414118033
5,24.831091656510097
6,21.5241355616392
7,17.92577865278556
8,25.296600727047124
9,25.091155401065755
10,10.156846655063363
11,185.72788839454248
12,15.01373757696225
13,192.97389756314897
14,13.232411414245735
15,29.013132326207298
16,22.027934327948905
17,16.27696821050079
18,15.768276295081172
19,14.846808712019456
20,29.405850682704887
21,17.80406491550559
22,11.893143255269973
23,24.50017642904826
24,198.6074960065332
25,20.594272000028045
26,10.424650473507548
27,26.273486081971292
28,18.006776242739683
29,25.371226548613823
30,16.123649309587492
31,9.208098864497458
32,28.043262833831797
33,29.632345363173606
34,14.785425532194896
35,9.203177441951524
36,28.688373800667698
37,198.05847898582957
38,10.804197393392128
39,20.72254559455277
