task_Number,endpoints_location,bandwidth_demand
0,"[10, 8, 9]","[1.3902785910527493, 0.45907400902673223, 4.321678038678359]"
1,"[6, 10]","[1.381008411941543, 1.67103896117088]"
2,"[8, 7]","[1.2990924218446867, 0.024695483247690442]"
3,"[10, 7]","[0.5708432890120001, 1.4220014039241544]"
4,[8],[1.3941401241565075]
5,"[8, 10, 9, 11]","[2.3238943887436743, 1.401974195294783, 2.547548829376833, 0.8286300918660767]"
6,"[7, 8, 11]","[0.6403262551678073, 0.17146117774534397, 2.282532292360681]"
7,"[10, 11, 8, 6]","[2.185486294978869, 1.097989692088816, 0.9794312121844795, 0.4009100813675289]"
8,"[7, 11, 6, 10]","[0.9686602959264536, 2.6967591820874643, 1.5875082672158722, 0.41592551184975646]"
9,"[6, 11, 9]","[1.6535120822219191, 0.1041047611030973, 1.174754912972292]"
10,[6],[0.7283874913310371]
11,"[11, 6, 10]","[1.4140967185102853, 1.1028718799248638, 2.1520118650022]"
12,"[9, 6, 10]","[1.0118615786295546, 0.5598504454334374, 0.599601102449631]"
13,[10],[0.9870634392189331]
14,"[6, 11, 8]","[0.001188647118451014, 1.1106945017892687, 1.3498288098970044]"
15,"[7, 8, 11]","[1.2928707854529493, 0.9598389010304423, 1.687220473293184]"
16,"[7, 6, 11, 8]","[0.23995847178642415, 1.82180077499432, 1.606360456571517, 1.4759227397604016]"
17,"[6, 10, 9, 8]","[1.02614644141819, 2.5546230972996415, 1.2008559041043343, 1.2501583154295983]"
18,"[10, 9, 6]","[1.1124146935478343, 2.45779449137414, 1.8816648980780886]"
19,[9],[1.705028889406774]
20,"[9, 10]","[0.5769599160662806, 1.5675570007847366]"
21,"[8, 6, 7]","[1.5757900770158826, 0.15022133284210293, 0.12182914338954176]"
22,[9],[0.551856213705882]
23,"[6, 11, 10]","[1.7778414726236624, 1.015776246526495, 0.6538543284117899]"
24,"[7, 11]","[0.6693437187388489, 1.5718497999697498]"
25,"[6, 10]","[0.7316759572990545, 0.5866483592596327]"
26,"[7, 6, 8, 10]","[1.32029215096531, 1.0701509485108318, 0.8848976799760503, 0.29529853742777323]"
27,"[7, 10, 8]","[2.1140083606005415, 0.7481030953299109, 0.05511609765234082]"
28,"[11, 10, 8, 9]","[1.7807308607594736, 1.6760838310138113, 0.15190222066891934, 0.2371574104648707]"
29,"[7, 8]","[0.14266067118386572, 0.24525273979227646]"
30,[7],[0.5927828931063353]
31,[7],[2.3067236357800547]
32,"[11, 7, 9]","[0.46061083747587095, 0.5502099250649095, 2.0672793905671742]"
33,[10],[0.4613313149293855]
34,"[10, 8]","[2.57706715562405, 0.5075938246273757]"
35,"[8, 10, 7]","[2.4069415289020766, 1.8712777532959066, 2.047655740437264]"
36,"[7, 11, 10, 8]","[3.487747286958821, 3.736940856357197, 1.385900975064352, 1.1212587546120856]"
37,"[11, 10]","[0.7782551922859378, 1.2814809401342127]"
38,"[7, 9]","[1.1053542609865648, 1.3072217803421524]"
39,[6],[0.3034448264491484]
