task_Number,endpoints_location,bandwidth_demand
0,"[8, 6]","[0.0814484268350576, 1.1805737922499555]"
1,"[7, 9, 8]","[1.5908280032397655, 0.5441534690108221, 0.6872697424380501]"
2,"[7, 8, 10, 6]","[0.4499594119139765, 0.02879413725242741, 0.7189411105758197, 0.8161397477699477]"
3,[10],[1.0513171087585556]
4,"[7, 9, 6, 10]","[0.7260073474551805, 1.0324815835233525, 1.868352868624851, 0.4056909528510113]"
5,"[7, 10]","[1.6142897138209085, 2.905692546642343]"
6,"[9, 6, 8]","[0.9360678372300733, 0.6890984982004047, 0.8248108535567342]"
7,"[11, 6]","[0.3810183821193619, 1.3075650063181878]"
8,"[6, 9, 10]","[0.22945787973184106, 2.272951656266403, 1.339791575341997]"
9,"[6, 9, 8]","[0.33520640495676346, 0.30594094006489725, 2.0895549071199566]"
10,"[11, 8, 7, 6]","[1.2152215295897142, 0.06115461915168663, 1.54690547611838, 2.6924361918695956]"
11,"[6, 7]","[0.6581632833763733, 0.5874026056628843]"
12,[10],[1.53731185891976]
13,"[7, 6]","[1.294210037431689, 0.7888187048977465]"
14,"[7, 8, 6]","[1.5699419564135628, 0.5338864204398617, 1.0671019848338221]"
15,[11],[2.392732949131717]
16,"[8, 10, 7]","[1.1560371208953473, 0.8437457342063631, 0.6251481692868736]"
17,"[11, 8, 7]","[1.371508051274658, 2.2034837991014626, 0.0591498026955074]"
18,"[10, 9]","[1.1911243132971878, 2.4264253663746436]"
19,[9],[0.7675047072661796]
20,[11],[1.640150162822176]
21,[9],[1.1225201103567246]
22,"[8, 10, 11, 9]","[0.8813710632293806, 0.6214844257775485, 1.4620945539567154, 1.3821206188365416]"
23,"[7, 10, 8]","[0.841390092889341, 0.45146245180588407, 1.8082533957686755]"
24,"[10, 11, 7]","[1.8693291417356115, 0.038623926832893174, 1.1494240106023244]"
25,"[11, 10, 8, 7]","[1.0466793245569928, 2.4268720832013013, 1.2152851260703803, 1.4016849689388928]"
26,"[8, 7]","[0.6041200623238779, 0.36763371980866866]"
27,"[10, 8, 7, 9]","[1.381300351430598, 1.7559720467073057, 1.2127928132242232, 1.1789740738892254]"
28,"[10, 11]","[0.4121237796955849, 2.069587677598765]"
29,[6],[0.2569454981628033]
30,"[9, 7]","[1.0226901929308856, 0.09533351288082825]"
31,"[8, 11, 10]","[3.3163947416634074, 0.41985200412712087, 0.4058344181439514]"
32,[6],[0.246457225108631]
33,"[10, 9, 7]","[1.0819047067318592, 1.72071788602975, 1.1761671547806645]"
34,"[9, 10, 11, 8]","[1.6380498153275838, 2.6799580223758115, 0.831755788861077, 0.39655097767140024]"
35,"[11, 6, 7, 10]","[1.4889343184385653, 2.027558471963391, 3.415257172666554, 0.6592121507142388]"
36,[8],[0.6838603920973995]
37,"[9, 6, 10, 7]","[1.7590411676652415, 0.6569026153420165, 1.6570790516278835, 0.503024775088288]"
38,"[7, 8, 9, 10]","[1.4298077533245783, 2.2963181556294794, 0.05494332464485285, 0.8878699162882935]"
39,"[8, 6, 11, 9]","[3.7523514698098275, 0.6448942565015252, 2.206398090839116, 1.363532862067771]"
