task_Number,endpoints_location,bandwidth_demand
0,"[10, 7, 6]","[0.7854790790728604, 1.857198512656195, 2.08328770302373]"
1,"[9, 11, 6]","[1.463672212042426, 1.5917827886338007, 2.174072949514046]"
2,"[6, 7]","[1.2980742676574888, 1.3616348092627744]"
3,[8],[0.0610895090359882]
4,"[9, 10, 11]","[0.1713050387226065, 2.024531299546119, 1.605860777081415]"
5,"[9, 7, 10]","[2.7611088094215788, 0.7253691354413703, 0.891764030291368]"
6,[8],[0.8550804872530477]
7,"[11, 8, 10, 7]","[1.9260029604433506, 1.227227061461028, 0.8031409837081311, 0.36014579256599233]"
8,"[6, 10, 9, 7]","[1.0112313414534255, 0.44023869260949944, 1.8416225188285682, 1.251552890676503]"
9,[6],[2.402019614712058]
10,"[7, 10, 11]","[0.70476952521273, 1.478316505821479, 0.2848095042590818]"
11,"[6, 7, 11]","[2.2299429378606757, 1.2720768882269502, 1.075074010077445]"
12,"[6, 7, 8, 9]","[3.1270491136761454, 1.5662862063146399, 1.5008332783498681, 1.6939874624325988]"
13,"[8, 11, 10]","[2.366505725671173, 1.015653659985217, 1.904660210113759]"
14,"[7, 10, 6]","[1.5382841201123107, 1.1139450066040262, 1.0695713102123852]"
15,"[6, 8, 7, 11]","[1.391485034296854, 0.8815014867780948, 2.3879419118700174, 0.9033094108181652]"
16,"[10, 7, 6]","[1.2044270190375206, 1.86221063645083, 2.0875533653635108]"
17,"[6, 10, 8]","[0.2698789933192315, 2.203819022238073, 0.5299111110942061]"
18,"[8, 7]","[2.1585141233482297, 1.748028828035372]"
19,"[11, 8]","[0.8817065083526934, 0.6395270283440032]"
20,"[10, 9, 7]","[2.007371924912074, 1.5354466117467527, 2.4720272499695417]"
21,"[11, 8]","[1.8315694982263255, 0.7380154543374355]"
22,[10],[1.6513404777560283]
23,"[9, 7, 10]","[1.9159251943750983, 1.0630212902773577, 1.3880734127384788]"
24,"[9, 6, 7]","[1.6098362544502582, 1.7640005324271661, 2.8746446399209438]"
25,[10],[0.7865861926092464]
26,[9],[0.8356987124334498]
27,"[8, 7, 6, 11]","[3.6301082878095317, 0.07157695573333478, 2.185856001093092, 1.8601328704304567]"
28,"[6, 10, 7, 9]","[3.3279276425130675, 1.1084573009518248, 2.1464661212155356, 2.0708496090595054]"
29,"[7, 11, 6]","[0.7782393182547771, 0.3038637761129114, 1.5606368282184016]"
30,[6],[2.095631807827748]
31,[8],[2.118836753387842]
32,"[6, 8, 9]","[0.38481765696419346, 0.6434204224202442, 0.8420314804903197]"
33,[9],[1.1331375954111982]
34,"[10, 6, 7, 11]","[3.1758346454221513, 2.9914888429613082, 0.8691485485910844, 1.7180074153278622]"
35,[9],[0.09818403663429975]
36,[10],[1.073821217329595]
37,"[8, 6]","[0.15516626513796106, 2.3048382232302593]"
38,"[6, 10, 11, 9]","[2.129990724467107, 0.49538439050216654, 1.5589381715072999, 1.3272487022731319]"
39,"[8, 11]","[0.5528769573688954, 3.1552024645785903]"
