task_Number,endpoints_location,bandwidth_demand
0,[6],[1.4507208674419207]
1,"[11, 8, 9, 10]","[2.4852221155972947, 1.52256117755225, 0.9353511358951162, 2.1821058693018482]"
2,"[10, 8, 6]","[1.6242498953313438, 2.3318902830298036, 1.7608588198365316]"
3,[8],[1.0448546983695892]
4,"[7, 6]","[1.3548331968279428, 0.9218361371157427]"
5,[10],[0.5700494780258364]
6,"[8, 9, 6]","[1.6877522792645852, 1.9779236071543829, 1.010292502971156]"
7,"[10, 8, 11, 7]","[1.671462584413414, 1.391763713821649, 0.035855064204499465, 0.9015271533424438]"
8,"[9, 7, 8]","[0.33000932560928176, 0.9377656297850046, 0.009909686797296313]"
9,"[6, 10]","[2.234365177312423, 1.6454288966046993]"
10,"[9, 6, 7, 10]","[1.925216371801624, 1.7598818752632939, 1.3222786842922545, 2.5065492868124712]"
11,"[10, 7, 6]","[0.5424738112954093, 0.3121677307205626, 1.676912106182948]"
12,[9],[0.50631116201231]
13,"[11, 10]","[1.383968734876246, 0.7555325087478857]"
14,"[9, 11, 8]","[0.22757860738821967, 1.5743004273219117, 1.8240156872859699]"
15,"[11, 9, 8, 7]","[0.04822521140897629, 0.7012137127126523, 1.5578442960374148, 1.8765013406715392]"
16,"[11, 6, 7, 9]","[1.3047401688213822, 0.5803534510560671, 0.9985417252905567, 1.9058114138372781]"
17,"[8, 9, 7]","[0.1395135070259952, 1.5193341916933112, 1.4748811179130552]"
18,"[8, 7, 11]","[0.2759657261781401, 0.46479188912369507, 0.5361023245078589]"
19,"[10, 11, 6]","[0.6459091776823107, 3.106415427449999, 2.4030265811254763]"
20,"[9, 11, 7, 6]","[0.6522995963154108, 1.154435786813599, 0.5266926915522131, 2.590622610499455]"
21,"[7, 10, 9]","[0.5218507274104256, 1.8564840674070138, 0.9889838328969492]"
22,"[9, 10]","[1.2431433406839398, 2.1505660301068845]"
23,"[10, 9, 8]","[1.8824284898483992, 1.8673396387106218, 0.7687195643292154]"
24,"[11, 6, 7, 9]","[0.515162723536742, 2.503760881956954, 1.3661422918228152, 0.9643432821737452]"
25,"[7, 8, 10]","[0.10453434408959761, 0.8373547177602056, 1.7052155665425783]"
26,"[10, 6, 9]","[0.37992103525311116, 1.8666382044489964, 1.4036597628804734]"
27,"[7, 6]","[1.7380089651676438, 0.9148817030757276]"
28,"[10, 6]","[1.0617101473173702, 0.5406383955272861]"
29,"[6, 11, 8]","[2.097968135105705, 1.365262589260608, 1.0863013635733187]"
30,"[7, 9]","[0.25512061606857617, 1.2947323465385812]"
31,"[6, 10, 7]","[1.2620166196171159, 0.48745024735794795, 1.2561422244181104]"
32,"[10, 6, 7]","[1.1382025247036398, 0.16655175292259017, 0.3473334688452381]"
33,"[8, 7, 10, 9]","[0.9466853254373861, 1.2294456522350234, 1.8021437902930184, 1.626137762676482]"
34,[6],[0.7210289853870298]
35,"[9, 6]","[1.8323552720292655, 2.2010986490397118]"
36,"[9, 7, 10, 11]","[1.2308461949316667, 1.4934426223860693, 0.18641102014968547, 0.7193976235544721]"
37,"[11, 8, 6, 10]","[0.6236425453675183, 2.826248551208519, 1.611794918220519, 0.6013084660578785]"
38,[8],[0.12635643916637485]
39,[10],[1.6312046840498624]
