data_link, bandwidth_capacity
"(1, 2)",7.0478462048465165
"(3, 2)",7.0478462048465165
"(8, 2)",7.0478462048465165
"(4, 10)",7.0478462048465165
"(7, 1)",7.0478462048465165
"(3, 0)",7.0478462048465165
"(2, 8)",7.0478462048465165
"(9, 3)",7.0478462048465165
"(6, 0)",7.0478462048465165
"(2, 1)",7.0478462048465165
"(3, 9)",7.0478462048465165
"(0, 5)",7.0478462048465165
"(1, 4)",7.0478462048465165
"(5, 4)",7.0478462048465165
"(3, 4)",7.0478462048465165
"(2, 5)",7.0478462048465165
"(1, 0)",7.0478462048465165
"(10, 4)",7.0478462048465165
"(0, 1)",7.0478462048465165
"(0, 3)",7.0478462048465165
"(11, 5)",7.0478462048465165
"(4, 1)",7.0478462048465165
"(4, 3)",7.0478462048465165
"(5, 11)",7.0478462048465165
"(0, 6)",7.0478462048465165
"(5, 0)",7.0478462048465165
"(1, 7)",7.0478462048465165
"(4, 5)",7.0478462048465165
"(2, 3)",7.0478462048465165
"(5, 2)",7.0478462048465165
