,valuation coefficient
0,11.247417904431355
1,20.73040301395569
2,192.48583164082854
3,19.345093365574176
4,189.60982475278556
5,13.955784683273267
6,14.97386784622131
7,18.59021937857295
8,22.332496837936976
9,17.296526986546127
10,12.606665229012357
11,24.080278849508122
12,17.37597597844477
13,23.776885460057613
14,22.125457580897628
15,17.60089451912971
16,26.24030003472527
17,23.198849011375724
18,28.291082125264467
19,27.17465446359061
20,11.28306487003903
21,14.263903040762287
22,24.302037984989866
23,28.30445062256415
24,25.999171867326293
25,199.0905966225886
26,18.174413916180917
27,27.271054369491495
28,8.939766981778584
29,19.258033645851405
30,19.387726506139032
31,29.516298129957974
32,12.367571069791483
33,16.91076884989382
34,27.40344902286703
35,15.158696315253716
36,19.704769195525586
37,184.16872879954315
38,20.36637816271103
39,11.232960510215747
