task_Number,endpoints_location,bandwidth_demand
0,"[10, 8, 11, 9]","[2.208513729509991, 0.699203043670106, 0.9191980472352841, 1.6136783938984265]"
1,"[9, 11, 10, 8]","[0.7577179610071223, 0.5183479658049951, 1.8971380720551938, 1.6826529391644016]"
2,"[9, 10]","[0.8001186704693789, 0.8421234544662077]"
3,[8],[1.795808432155313]
4,[10],[0.7454755157889555]
5,"[10, 9]","[0.3720907073728317, 2.957004910417375]"
6,[7],[1.940169596807925]
7,[9],[1.9984119137486802]
8,"[9, 6]","[0.8544773085156637, 2.1205549083510316]"
9,"[9, 8, 7]","[1.4605283884294837, 1.211888508914278, 0.6560374293095886]"
10,"[7, 11, 8, 6]","[2.5675787951698243, 1.8822562681636783, 1.8345547199651304, 0.5488032327441091]"
11,"[11, 10]","[0.849387410747778, 0.38381558667321103]"
12,[7],[2.294644272378145]
13,"[6, 11]","[0.6231866904593373, 1.2037147530944166]"
14,"[9, 10]","[1.0330438831214646, 1.6366643212103797]"
15,"[11, 6]","[0.29403503970907363, 1.1482424491321548]"
16,"[8, 10, 11]","[0.0716690917338495, 0.6031478183082224, 1.5810757809768332]"
17,"[6, 11, 10, 9]","[1.6110649533536514, 1.1810298797741516, 0.5475478346300835, 1.7819185941745668]"
18,"[6, 7]","[0.9306012049077285, 1.333618615855273]"
19,"[7, 11]","[0.1047019292160084, 3.68351611596761]"
20,"[8, 7]","[1.9532718757519465, 0.8711843186415542]"
21,"[9, 6]","[0.07319292246210318, 0.3382625868132927]"
22,"[11, 8, 10, 9]","[0.8635395062171711, 1.057003153956992, 1.1229612193048604, 0.4981223882732121]"
23,[10],[0.5138612651759483]
24,"[9, 6]","[1.9966036115201167, 1.215548456100997]"
25,"[8, 6]","[1.253298146050666, 1.3058267726585555]"
26,"[11, 6]","[2.8016269515562953, 1.8957806824830463]"
27,[8],[1.6576279111610608]
28,"[9, 8, 7, 10]","[0.8464459752350928, 1.4476278678225867, 2.7388969812042507, 2.015593561889269]"
29,"[9, 11, 7, 10]","[2.8427631486521747, 0.8755459227192834, 0.18313504989001772, 0.6095289789439611]"
30,"[10, 7, 9]","[1.6246056947964402, 0.7492942823365981, 0.6653782970838916]"
31,"[7, 8, 9, 11]","[1.066462367825169, 0.6928986778983506, 1.167674563874939, 1.9484720690454118]"
32,"[9, 8, 6, 10]","[0.6112269200082915, 2.2169601688875322, 0.948771998174575, 0.9148046460537519]"
33,"[8, 10]","[0.6988721421849775, 3.1837702730074593]"
34,"[10, 9]","[1.640950369724176, 0.9747871414572664]"
35,"[6, 11]","[1.0603925554196278, 0.3811696917429056]"
36,"[9, 11, 7, 6]","[0.0611697275240527, 0.27065319417537625, 0.859468585816654, 0.0692471087777995]"
37,"[11, 8, 9]","[1.7499718401617548, 0.4551017446135457, 0.24883500886662557]"
38,"[7, 6]","[1.340200703575195, 1.6835195246471937]"
39,[9],[0.9916191606713937]
