task_Number,endpoints_location,bandwidth_demand
0,"[11, 9, 6, 7]","[1.4122010932667268, 1.313398931371415, 0.6871402780261746, 0.4047641941489679]"
1,"[6, 8, 9]","[1.1669235382253236, 0.032744607625400435, 1.491996253748954]"
2,"[6, 10, 11, 8]","[2.389188292334909, 0.8608763232303994, 0.8286220646025712, 0.7222012325087968]"
3,"[11, 7, 8]","[1.0498870790270238, 2.9750075319180667, 1.9320717876167568]"
4,"[7, 10, 8, 9]","[1.1928444947134804, 0.6773169519200898, 1.7640674648281056, 1.4453137356101466]"
5,"[9, 10, 6]","[1.8187299275211133, 1.5453491724558688, 1.0376892283352441]"
6,"[11, 6, 8]","[1.746604745687969, 1.1135487944751847, 2.1106161013662774]"
7,"[9, 8, 7, 10]","[2.0335994950467473, 1.2713184061589502, 0.19614197276195144, 1.4579991642833476]"
8,"[7, 10, 9]","[1.8423223998268083, 0.5695661384857551, 0.6619065694494617]"
9,[6],[0.3875703892551632]
10,"[6, 9, 11, 8]","[2.2544776940139855, 2.0438609132760464, 1.70643580799344, 1.2861151251077414]"
11,[11],[1.4876161837516007]
12,"[7, 6, 11]","[0.6489447100596881, 3.0011493374423406, 2.340690208408673]"
13,"[6, 10, 7, 9]","[0.5254715089370317, 2.4978863231508477, 1.221225786253369, 0.4441414957996649]"
14,"[10, 9]","[1.2094970175799522, 1.3084974496180295]"
15,"[9, 11]","[2.0132396067447975, 0.8357253900636391]"
16,"[10, 11]","[0.753261903304469, 1.951738938768268]"
17,"[11, 9]","[2.37142882033927, 1.0409170403358488]"
18,"[9, 6, 11]","[1.9706279269598226, 2.8672821001614723, 1.1198801503866254]"
19,"[8, 7]","[0.2432689207834774, 0.9265275033542807]"
20,"[6, 9, 10]","[0.2912976795189277, 0.5138035265807439, 2.0272957075325047]"
21,"[11, 9, 6, 7]","[1.9629557439440366, 1.8070189332682567, 0.43726706648817626, 0.07659950966436968]"
22,"[7, 9, 8]","[0.5610002416969193, 0.7616497365836346, 1.5698725506890887]"
23,[6],[1.6363989405252]
24,[7],[0.6149234603690276]
25,"[6, 11, 7, 8]","[1.099091889271246, 0.204591064313986, 0.4032696453565988, 3.016937754402684]"
26,"[7, 11]","[1.6897280274824482, 0.21672738244462952]"
27,[7],[1.9469864732921682]
28,"[7, 8, 11, 6]","[0.141508223693098, 1.1606668043017736, 0.11237498460983586, 1.4405853168360858]"
29,"[11, 10]","[1.4128283707387286, 0.2552137015809308]"
30,"[10, 11, 9, 7]","[0.8510045335757274, 0.2374220783939074, 0.5520492634584118, 0.3764024949928346]"
31,"[8, 11, 9, 7]","[1.7454439170587959, 2.1121993783471398, 0.7662714157298913, 0.12658465117325934]"
32,"[9, 11, 10, 7]","[2.871538946963376, 0.3290633708092713, 3.5358502935757405, 1.379267006711765]"
33,[9],[1.0253291426558082]
34,"[8, 10, 6, 7]","[2.464883300880257, 0.8723737854914857, 0.9849922672139615, 1.4676361318516777]"
35,"[9, 8]","[1.2639771745161323, 0.8454815590538571]"
36,[6],[0.2193638991289284]
37,[11],[2.2226670460109883]
38,"[10, 11, 7, 8]","[1.316466573236061, 0.9726059886871679, 1.8544636570155313, 1.5134207584332988]"
39,"[6, 7, 8]","[2.1028057565540568, 1.1510014902383592, 0.560855238159448]"
