task_Number,endpoints_location,bandwidth_demand
0,"[7, 9, 6]","[2.024802052810189, 1.7556127996448476, 3.1709353626886334]"
1,"[8, 9]","[0.35993329569618604, 2.3285008455753586]"
2,"[8, 9, 7, 11]","[1.6778061029188196, 1.5560603739342063, 1.222719460852493, 2.029211175548784]"
3,"[6, 10, 7]","[1.270704283602356, 0.43447424070797325, 0.7408666214586226]"
4,[9],[1.3443427251193143]
5,"[8, 7, 11]","[0.6355432739495562, 1.1729118509952583, 3.1973716623221295]"
6,"[7, 6, 11]","[1.2723910406485541, 0.030823501347758464, 1.8719681219808852]"
7,"[6, 10, 8, 9]","[0.7578246739783419, 2.063571147999693, 1.1380889486494357, 1.8926837710016198]"
8,[9],[2.0554725531395315]
9,"[6, 11, 10, 8]","[0.4082580831191961, 0.2600320865120014, 2.793421870344682, 1.3829852739695085]"
10,"[10, 7]","[0.24182742332582707, 0.36828624173832647]"
11,"[6, 9, 10]","[1.9098359931856874, 0.5436075029628649, 0.7359667223806248]"
12,"[6, 9, 7, 8]","[2.1266543513929697, 4.320345263122132, 0.020307966651234577, 0.16539364631158537]"
13,[8],[1.3145069453317793]
14,"[10, 11, 7, 8]","[0.34641332919175083, 1.9269304154997542, 2.1589259857287, 2.224385927819796]"
15,"[6, 10]","[0.9138865995041408, 0.23977969686747613]"
16,"[7, 10]","[0.9714851224586614, 0.6184551578553421]"
17,[6],[2.747125490220708]
18,"[9, 10]","[0.2572967209362088, 1.769787723750098]"
19,"[9, 10]","[0.5428358491613654, 1.1078893439133206]"
20,"[9, 11]","[0.21583999386220465, 1.9497348200369866]"
21,"[10, 9, 6, 8]","[1.380113585795922, 0.04332696809261394, 2.2698589903210236, 1.1505193750880531]"
22,"[11, 6]","[0.8733149852018378, 2.134542018397556]"
23,"[7, 8, 10, 11]","[1.2245470278136827, 1.5939694333597427, 1.3313930189767873, 2.2894485800953452]"
24,[11],[1.57466729650453]
25,"[9, 8, 6, 7]","[0.5458095631528832, 0.46878541759449843, 0.6897540873000132, 0.4076531171444112]"
26,"[7, 8, 10]","[0.4016277155141177, 0.06413510666399558, 1.4387700038900402]"
27,"[8, 10]","[1.0564022281352174, 2.6307499455850074]"
28,"[10, 11]","[0.8417389199263771, 0.5111789927280135]"
29,"[7, 6, 9]","[0.08140791924924429, 1.457209762740729, 0.14702948928621717]"
30,[9],[0.8649393974593801]
31,"[6, 10, 11, 9]","[0.41201434845461216, 1.5096074250102103, 0.13115727963532087, 1.1944949051101492]"
32,"[11, 9, 6]","[1.42494129326764, 1.8547214759697561, 1.5837765350334283]"
33,"[9, 7, 6]","[1.3506267568891583, 1.7376714841377883, 0.48863639443835694]"
34,"[10, 7, 11, 6]","[1.8322366468537759, 0.19481111858643263, 0.579051128243817, 0.7568365755247985]"
35,"[11, 8, 6, 7]","[0.15512317090876504, 0.51270269860499, 1.4883384777358664, 1.8597649545919976]"
36,"[8, 9, 11]","[1.5252072469388578, 1.3987081012892388, 3.1934507085803965]"
37,"[10, 6, 9]","[1.43838876341853, 1.6603153555066288, 0.7323022175392877]"
38,[8],[0.4477491305171508]
39,"[7, 8]","[0.0221797463238822, 0.7429336158673994]"
