data_link, bandwidth_capacity
"(1, 2)",5.411279682604155
"(3, 2)",5.411279682604155
"(8, 2)",5.411279682604155
"(4, 10)",5.411279682604155
"(7, 1)",5.411279682604155
"(3, 0)",5.411279682604155
"(2, 8)",5.411279682604155
"(9, 3)",5.411279682604155
"(6, 0)",5.411279682604155
"(2, 1)",5.411279682604155
"(3, 9)",5.411279682604155
"(0, 5)",5.411279682604155
"(1, 4)",5.411279682604155
"(5, 4)",5.411279682604155
"(3, 4)",5.411279682604155
"(2, 5)",5.411279682604155
"(1, 0)",5.411279682604155
"(10, 4)",5.411279682604155
"(0, 1)",5.411279682604155
"(0, 3)",5.411279682604155
"(11, 5)",5.411279682604155
"(4, 1)",5.411279682604155
"(4, 3)",5.411279682604155
"(5, 11)",5.411279682604155
"(0, 6)",5.411279682604155
"(5, 0)",5.411279682604155
"(1, 7)",5.411279682604155
"(4, 5)",5.411279682604155
"(2, 3)",5.411279682604155
"(5, 2)",5.411279682604155
