task_Number,endpoints_location,bandwidth_demand
0,"[11, 9, 8, 6]","[3.5125483843977277, 1.8255691674387386, 1.8968121720837825, 1.650613860458893]"
1,"[10, 8, 7]","[0.7293536620625419, 1.2222437183074968, 1.2518135971099835]"
2,"[11, 10]","[1.7804868925047233, 0.9056595055903904]"
3,"[6, 7, 8, 11]","[0.9474492152109956, 0.36571891674936463, 0.6370688942821323, 1.1375147397566083]"
4,"[8, 11]","[0.28948321715297587, 2.2142424630339814]"
5,"[7, 11]","[1.4023682590403994, 1.1853221341774358]"
6,"[6, 8]","[4.391555847598725, 2.7366769927258705]"
7,"[10, 11]","[0.9047991965850424, 2.7126216922908064]"
8,[9],[0.9302449384492404]
9,"[11, 6, 10, 8]","[2.5329984124574216, 2.132015649435057, 1.900460048632092, 1.5713497456879786]"
10,"[10, 8]","[0.8406960091263564, 1.7839594331628015]"
11,"[11, 9, 6, 10]","[0.7381538373328009, 0.36007444328876004, 2.89219223293694, 0.582873806570208]"
12,[8],[0.1553560583077026]
13,"[8, 9, 6, 10]","[0.18171051390267434, 1.357207069490923, 2.279346024563362, 0.30100597765592274]"
14,"[9, 8, 11, 6]","[0.8546262408236553, 0.793079974005513, 1.4782412346292237, 1.0186904912373729]"
15,"[8, 10]","[1.019219582009212, 1.7449053076110435]"
16,"[7, 10]","[0.49750074768224817, 1.5765555281741799]"
17,[10],[2.6217753056565725]
18,"[6, 9, 11]","[1.4861726448485386, 0.6365665968032892, 1.4890118743802434]"
19,"[11, 10]","[1.8784391854975233, 2.5493725151413065]"
20,[9],[1.465979283569716]
21,[9],[2.2221707321299595]
22,[10],[1.2874852668159211]
23,[10],[1.3941898995740571]
24,"[11, 7]","[0.9829123162422269, 2.1610915859746753]"
25,"[9, 10, 8]","[0.7517111068994546, 1.3837901221018387, 2.124326698678767]"
26,[6],[0.7887795174157837]
27,"[8, 10, 7]","[1.8970287555555858, 1.5779418746569018, 0.594433579281]"
28,"[6, 8, 11, 10]","[2.340915345287077, 0.965172055900645, 0.8875405291441151, 1.4953166558366122]"
29,"[11, 9, 10, 8]","[0.3529119156014373, 0.3510887968965414, 1.759934930029548, 2.6747829300098416]"
30,[10],[2.4443292430598995]
31,"[7, 11]","[0.23788173484197994, 0.9446329479766196]"
32,[11],[1.5918904466247448]
33,"[10, 6, 7]","[1.0144628066620351, 0.009996531711840784, 0.5574840312114724]"
34,"[8, 9, 7]","[0.6599021240560017, 1.7227233826632595, 0.5993063296428351]"
35,[8],[0.5532007828508728]
36,"[6, 10, 11, 9]","[1.6641567286225585, 2.5814725280298014, 0.8978790834438048, 0.3033889226504476]"
37,"[11, 7, 8, 9]","[2.0308973987751404, 0.6734109985715055, 0.866136841662162, 1.6436692067817926]"
38,"[9, 11, 10]","[0.7171232691468415, 0.8980316152069019, 2.406913181458611]"
39,"[9, 11, 6, 7]","[1.646377531594308, 1.3243056528560362, 0.312649228761096, 0.3331965021561367]"
