task_Number,endpoints_location,bandwidth_demand
0,"[6, 11, 10, 7]","[0.38357134007068694, 2.350440133338874, 1.125734512481177, 0.8618778253414302]"
1,[7],[1.9144955213964345]
2,"[9, 7, 8, 11]","[3.254210008443317, 0.6980896002275943, 2.7596975455102366, 0.10376027379328767]"
3,"[11, 8]","[0.8891038177848287, 0.16650768864589116]"
4,[9],[1.3228675857278476]
5,"[6, 8, 10, 9]","[2.1302281391114284, 1.3000803997197345, 1.7801548554622526, 0.10043265887011421]"
6,"[11, 6, 9, 10]","[0.7038066476276821, 2.077750779614698, 1.757478151971236, 2.7658485709729796]"
7,"[6, 10]","[0.4454546572970218, 1.8192977731808426]"
8,"[8, 11, 6, 7]","[1.6006198152875042, 2.3331805656537767, 0.9456790462400073, 2.368361507292556]"
9,[7],[0.9053021998541183]
10,"[11, 10, 8, 7]","[0.2667890390565345, 0.3821766855790921, 0.7067946607125053, 1.402308149510796]"
11,"[11, 8]","[0.8303157643738655, 1.2379367070857503]"
12,[6],[0.4823932145500305]
13,[10],[1.4084745090278017]
14,"[6, 8]","[2.5775187601290526, 0.13166329660644882]"
15,"[10, 6, 8, 7]","[0.11911332147374654, 1.917968196231603, 1.6073030889846227, 0.35902850710540324]"
16,"[10, 6]","[0.23335777578542405, 1.1787237791294267]"
17,"[8, 7]","[1.1285953416455163, 3.27963683981002]"
18,"[9, 8, 11, 6]","[1.7372971451230397, 1.874411795160246, 1.2151655539151767, 1.5026826530730775]"
19,[11],[0.7607714498947808]
20,"[11, 6, 8, 10]","[0.11250066395035463, 0.11240346176695537, 0.8858249718267417, 1.5159499381590074]"
21,[10],[0.5065582924431713]
22,"[11, 10]","[2.717320888572748, 0.8331679826727368]"
23,"[7, 11, 9]","[1.2013453113739732, 0.4984735421977152, 2.0899020209419863]"
24,[7],[0.966856248652009]
25,"[9, 7, 6, 10]","[0.36857922261831033, 1.851429518616884, 1.3753569141345638, 0.6503451468135608]"
26,"[10, 7, 6, 11]","[0.732314973441511, 0.8824190511147058, 0.9314211282442217, 1.4368751334898002]"
27,"[11, 10]","[3.0371506741695193, 0.38289965540333715]"
28,"[11, 7]","[0.24678530986222846, 2.0979515681040883]"
29,[9],[3.2339773651958863]
30,"[10, 9]","[1.9902836637278543, 0.8289111291327995]"
31,"[6, 10, 9]","[0.32229126904990224, 2.1194692511585655, 2.3633942684268]"
32,"[6, 9]","[2.445418013406053, 0.11428135402755757]"
33,"[6, 7, 11, 8]","[0.6404665114622818, 0.8041918018328316, 1.0364844351537086, 0.3355002963951763]"
34,[9],[1.9896284450227277]
35,"[8, 7, 10]","[2.4482198585059214, 2.0957841630550886, 0.1546385362589202]"
36,"[6, 9]","[2.023995329741182, 2.8282668648392857]"
37,"[7, 10, 11, 8]","[2.454629893267985, 0.5896734648642386, 0.8210744062848179, 1.7806284161172194]"
38,"[8, 9, 11, 7]","[0.6644375301372083, 0.9968379767831435, 0.9208224630078802, 0.4623524296085507]"
39,"[8, 11, 9, 10]","[0.19051505228170507, 0.04419736802455121, 1.401956695262526, 0.4136132000655295]"
