task_Number,endpoints_location,bandwidth_demand
0,"[6, 9, 10, 7]","[0.5744859570085719, 2.755396959311881, 0.7358066368945197, 1.8462944674941268]"
1,[11],[1.3468593348489863]
2,[9],[1.329275802618878]
3,"[7, 6]","[1.876168921116225, 1.3156349472416053]"
4,"[9, 6, 11, 7]","[0.4728757339716264, 0.24657052457661632, 1.0899466367836184, 2.6817122547270005]"
5,"[10, 6, 9]","[0.3293377137109694, 1.3775637863209194, 1.121821270991437]"
6,"[8, 7, 6, 10]","[1.4624207899727621, 1.6848364904170878, 0.4045396699156082, 1.9990512397538835]"
7,"[6, 11, 10, 8]","[0.1333778218754169, 1.3612356153850462, 0.06213567115871177, 0.6611194557002934]"
8,"[10, 6, 9]","[0.5468313967268914, 1.6041536410800714, 3.3852058144853916]"
9,"[11, 7]","[0.9234684992231468, 1.8420918795737056]"
10,[9],[1.3889362068634885]
11,"[11, 6, 7]","[1.077821127912706, 1.6183802619985244, 1.232494559178738]"
12,"[9, 11]","[0.8134025256246379, 1.743258569193185]"
13,"[10, 7, 8, 6]","[1.0075841455915138, 0.02702810714047188, 1.0897721017101258, 2.007180611857158]"
14,"[11, 7, 9, 10]","[1.2176825497452408, 0.9164005420443748, 0.7939375883306133, 1.0421554422298565]"
15,"[6, 9, 11]","[2.3319152261593885, 1.367829732004678, 0.8763910652926397]"
16,"[7, 8, 6, 10]","[0.5751098099993301, 0.499440429854872, 0.01833131997363524, 2.067099520132948]"
17,"[8, 10]","[0.4376945689809102, 2.9548780750090344]"
18,[9],[1.6069403305328436]
19,"[10, 7, 8, 11]","[2.4075400002412284, 1.1291015797107256, 2.6169495988573, 1.5027408819999044]"
20,"[10, 9]","[1.5421572747513552, 1.919409489205567]"
21,"[10, 9]","[0.7748725244079627, 1.3796918799741331]"
22,"[10, 6, 9, 11]","[1.196379972745648, 1.2641072112229854, 0.35927139686956344, 0.39622494348927084]"
23,"[11, 9, 10]","[0.8117959651453811, 1.5047001544392726, 2.0456310471225274]"
24,[11],[1.8823884749023994]
25,[7],[1.1249800015087497]
26,"[8, 10, 11]","[3.597790711088891, 0.6370843857893924, 0.08306550288207049]"
27,"[6, 9, 11]","[1.7847706510155894, 0.04457473762631081, 1.5859104311026155]"
28,"[7, 10, 9, 11]","[2.0365559262857866, 0.055283437678757874, 2.078191393030407, 0.9464087614180089]"
29,"[9, 6, 11, 10]","[1.8719291929987496, 1.1861835899173037, 0.2942146166881038, 0.7835794623705014]"
30,"[8, 10, 9, 11]","[0.4993227583158798, 2.6906174234644062, 0.7025376468430551, 0.747400203633982]"
31,"[7, 11, 10, 6]","[2.4514292605909356, 0.38196315231842115, 0.5883608368115174, 2.2785280828417216]"
32,"[7, 10]","[0.7336630248614054, 0.6281848753590437]"
33,"[10, 7, 9, 8]","[2.8996829849547785, 2.0072506419105816, 1.9990824511468999, 0.9735705878162874]"
34,"[8, 10, 11, 7]","[0.5175982487435907, 1.8497525254411031, 3.177380967072913, 0.7724949685764303]"
35,[8],[2.8786997013119042]
36,"[11, 10, 6]","[0.5521048152838814, 1.6179855339203346, 0.8158236743462547]"
37,"[9, 10, 7]","[0.9303974248270459, 0.7766183185308004, 0.4748774536082061]"
38,"[10, 11, 7]","[0.5771430386092247, 1.0864644065242874, 0.16983113597729205]"
39,[9],[2.136589521689358]
