,valuation coefficient
0,186.23944264488176
1,24.421369463407522
2,21.583065448545796
3,19.980792099254213
4,15.30505972554041
5,12.135357846550992
6,15.160018605652276
7,12.28897311280672
8,18.785487061167874
9,22.953435670584017
10,15.710150775839809
11,12.202082942072519
12,14.489457051197656
13,24.24520813748983
14,29.573672833051596
15,28.55960402490577
16,18.892951854924764
17,25.1831786373635
18,10.976503872442407
19,24.636205927792197
20,21.761987501660357
21,22.827071903284526
22,24.958780441962464
23,24.78637514117814
24,25.212550470016893
25,16.69280284858204
26,29.369316570828982
27,184.90026008073488
28,180.27659288819328
29,20.548221712334406
30,18.846824253800673
31,13.953084842342633
32,19.802963454701725
33,199.6350748853925
34,16.70794466494588
35,28.067656450477056
36,21.301320398622384
37,11.114889017270128
38,29.062978833652252
39,16.375312764277673
