task_Number,endpoints_location,bandwidth_demand
0,[10],[3.135470669006792]
1,"[10, 6, 8, 9]","[2.3644760242817333, 1.9674186856029174, 1.0153899298106204, 2.4397297198266186]"
2,"[8, 9]","[2.2926076796377846, 0.5808729305842673]"
3,[10],[2.1477006446796927]
4,"[7, 6, 10]","[0.07546649848884679, 0.5050133628524394, 1.027755394470036]"
5,"[7, 9, 6, 10]","[0.6516955952033141, 0.6597105701289145, 0.9815853910892625, 0.6772913049042109]"
6,"[9, 7, 6, 8]","[1.975083622813952, 1.147256987354986, 1.423404445330448, 2.5081642667070074]"
7,[7],[2.7610185454304554]
8,"[8, 11]","[0.9956485639069675, 1.6461376266601413]"
9,"[10, 6]","[1.2872489711347752, 3.539696568970342]"
10,"[9, 7, 10, 11]","[0.9259282371933376, 0.528423406969589, 1.8130122121017478, 1.127477824177427]"
11,"[6, 9, 10]","[0.4504387156486539, 1.340917940140861, 0.5674335522392582]"
12,[8],[0.3398952235408287]
13,"[11, 8, 9, 6]","[1.440439836838554, 0.6324679520161922, 1.8677817895825841, 0.6808564547115139]"
14,[9],[2.533271821945755]
15,[10],[0.47906083741574124]
16,"[7, 8]","[1.1444740723745284, 0.6549767310209941]"
17,"[11, 7, 6, 9]","[1.1803149771651946, 1.97330561595078, 0.8528004275990325, 1.6986644889384306]"
18,"[6, 11, 8]","[0.5543060224040122, 0.9638574335330404, 0.9985496599173862]"
19,[11],[0.028605350788077133]
20,"[11, 8, 9]","[0.546447955429304, 1.294593101559663, 1.5662884274047904]"
21,"[8, 10]","[2.048976115815435, 1.2337794823699846]"
22,"[10, 9, 6]","[0.03249082943844983, 1.3443496595966051, 0.13096721729207816]"
23,"[11, 9, 10, 6]","[0.15636454666249489, 0.0010948282971225964, 0.5777745425380567, 1.2033056537849804]"
24,[11],[1.4840677805048714]
25,[11],[2.3901442860122377]
26,"[10, 7, 11]","[0.8624859104099898, 1.6763273313060718, 2.150741891828435]"
27,"[9, 11, 10]","[0.9883441625069452, 0.11174665120975624, 0.8396511424532235]"
28,"[7, 10, 6]","[1.790968310423032, 1.79223073861094, 1.4291899310543412]"
29,"[9, 10]","[0.9037568245789265, 0.8970942039311844]"
30,"[8, 10, 7, 6]","[1.0532829638109487, 0.7447388556270711, 1.2882454064189084, 0.472001217642278]"
31,"[11, 6]","[0.2224331451625262, 0.7337821512906119]"
32,"[10, 11, 7]","[0.8000411932576723, 1.7214260672633426, 1.377480379491322]"
33,"[10, 8, 11]","[1.9175558382172042, 2.445556364781279, 0.1637859568823764]"
34,"[10, 8]","[0.7607524928747496, 1.4023307156707374]"
35,"[8, 11, 9, 6]","[0.3066871087985623, 0.7443028994681626, 1.7056967989274656, 1.2579168169650807]"
36,"[6, 11]","[1.6739209622168345, 2.2218244481025278]"
37,"[6, 8, 9]","[0.6127213726939338, 1.2470650130786285, 3.626431238552778]"
38,[6],[1.093983645971102]
39,[6],[4.195203336825099]
