,valuation coefficient
0,29.02030310606437
1,18.688155031595727
2,25.5780473882012
3,194.3448446455046
4,16.880268679752724
5,18.726154580963318
6,29.175428737682054
7,10.960550090183128
8,12.128140220029636
9,183.6514102545529
10,19.039751604605314
11,16.513015690758124
12,13.420660174285858
13,18.966378832453906
14,16.211111763623215
15,14.404425752893605
16,21.817269408417843
17,13.392405758092279
18,22.823724705584368
19,28.638966062623684
20,197.82396794822623
21,18.4858004546466
22,15.543255238773764
23,27.19601275203461
24,8.057735784158742
25,188.99567217859777
26,29.778110949171065
27,14.51582965745268
28,10.367004910915401
29,12.841059731181472
30,17.08048332980799
31,28.111022900298572
32,9.955953356005972
33,13.583885003567625
34,29.22158102355457
35,17.302198458345913
36,10.573270723224754
37,28.383851598969116
38,26.979486646737776
39,28.457236262705273
