task_Number,endpoints_location,bandwidth_demand
0,"[7, 10, 9, 6]","[1.2096382049090775, 1.378076620865662, 0.6485847697925193, 0.5082442228215838]"
1,"[11, 9, 10, 8]","[0.12517933376835644, 1.1844978122591385, 1.5316061642280938, 1.7461398466264337]"
2,"[6, 9, 11]","[3.35398532098014, 3.3431063791918705, 0.8539932939543486]"
3,"[9, 10]","[1.2177694249818949, 1.3653475793588095]"
4,"[6, 10]","[0.7615132201055503, 0.6019245569062319]"
5,"[9, 6, 10]","[0.5602879453240532, 0.5184944993074581, 2.011240416234111]"
6,"[8, 10, 11, 9]","[1.425724114568576, 1.5646643665520412, 1.1249853113242951, 2.755925648410175]"
7,"[11, 9]","[1.1468165172138567, 0.07114457301001753]"
8,[9],[1.6562750339210321]
9,"[7, 8]","[0.8088357612368395, 0.16739277300925237]"
10,[11],[1.8434116830969316]
11,"[9, 10, 8]","[2.517915069373658, 0.5501473440583725, 2.1769226493564604]"
12,[9],[1.1134149808783884]
13,"[7, 9, 6]","[1.7278803627887682, 0.46649740183121535, 1.6000839446518633]"
14,"[9, 7, 10, 11]","[1.3631707820181895, 0.9983694713556939, 3.2207653804966205, 0.42064323162365735]"
15,[8],[1.5612175857066788]
16,[10],[2.882160368778229]
17,"[11, 9, 6]","[0.21559520692368073, 0.7519560415191806, 1.6851700672143446]"
18,"[6, 8, 9]","[2.8122508246903175, 0.3556645858526337, 0.6841956624975534]"
19,"[10, 7, 9]","[0.9349738115388345, 1.0841529922789555, 0.35608315458790707]"
20,"[10, 6, 8]","[1.5852470533966776, 1.308139777489429, 0.984043974689803]"
21,"[10, 6]","[1.0036090415352863, 1.4187247694107465]"
22,[10],[1.1755987177629]
23,"[8, 7, 11, 6]","[1.28509927827011, 1.0723148175075177, 1.1578024915480951, 1.9061332217103173]"
24,"[7, 9]","[0.8520372677282441, 2.220708203789038]"
25,"[10, 7]","[1.2460749525284864, 1.1277684090381324]"
26,[6],[1.4728152998410773]
27,"[10, 9, 6, 8]","[0.6348648207290708, 0.21890088002215735, 1.3235223426069966, 0.9212588333398455]"
28,"[7, 11, 8, 9]","[3.855067987905663, 1.588720200100902, 0.745004161445749, 0.7403476584024671]"
29,"[10, 6]","[1.7257901151228516, 0.3424084402811408]"
30,"[10, 6, 9]","[0.6327407331888016, 1.6115404547076833, 1.175332263673699]"
31,[7],[1.7689606161659037]
32,[8],[1.031633345604952]
33,"[7, 9]","[1.5852565288154086, 2.635235423654304]"
34,"[9, 8]","[0.9293281704984526, 2.0843154410960905]"
35,"[10, 7]","[3.139163775982363, 1.8058165073000283]"
36,"[9, 7, 10, 8]","[1.7047020297569937, 1.2312527421418047, 1.813290461980038, 2.2637218867150795]"
37,"[6, 11, 7]","[1.4410276644890185, 1.105650457515722, 0.4641816112612345]"
38,"[9, 11]","[0.7051074332615952, 0.4501085236170346]"
39,"[7, 8]","[2.930339751596979, 0.3444345167674264]"
