task_Number,endpoints_location,bandwidth_demand
0,"[7, 10, 8, 6]","[0.937763255275582, 1.7808166184497463, 1.155307954130063, 1.1047178049137467]"
1,"[7, 11]","[2.702890747481365, 1.24905798621925]"
2,"[9, 7, 8]","[1.67653824452311, 1.9617552397272076, 0.37116769934246185]"
3,"[11, 7, 6]","[0.7837351354761832, 0.14663485417264022, 1.1045457431644088]"
4,[11],[1.655961919376232]
5,"[9, 10, 6]","[1.2420928558584576, 1.729215030525627, 0.20352166171717934]"
6,[7],[1.6979822787725634]
7,[11],[0.5385088384670822]
8,[7],[0.5209008080074109]
9,"[7, 8, 6]","[1.0739511770588923, 0.7497469044661409, 1.1280288257375382]"
10,"[11, 8, 7, 6]","[0.8848669305698685, 1.5964066732076134, 1.5979451689744444, 2.5493293198065716]"
11,"[7, 8, 9]","[0.9815725960334061, 0.8456937339738694, 0.7115759653806872]"
12,[11],[1.627682203901783]
13,[7],[1.0061867722303712]
14,"[11, 8, 9, 10]","[0.761642898757193, 1.916623385258252, 1.0394853891406284, 2.415144389928874]"
15,"[10, 6]","[3.123846762400707, 1.5346453418762378]"
16,[11],[1.0219894378517613]
17,"[9, 10]","[2.9775460109327874, 0.6971822998443269]"
18,"[6, 10]","[0.30927610430250096, 0.8900961671775984]"
19,"[11, 9, 6, 8]","[1.3351212831226476, 0.6724796255946643, 0.8294900097892465, 0.3732622264964328]"
20,"[10, 6]","[0.6667502398500663, 1.1585351920641918]"
21,"[6, 10, 9]","[1.3494997061185134, 1.7651266777929266, 0.18954859710448813]"
22,"[7, 6]","[1.3276151569563166, 0.6557345728950854]"
23,"[6, 10, 9, 11]","[0.6198038660359856, 1.6303656186166045, 1.459430389869664, 0.8569851644605017]"
24,[8],[1.8020405790796126]
25,"[10, 7, 11]","[1.8089508779716765, 0.4492826522820891, 1.4500843981770053]"
26,"[8, 6, 10]","[0.7085886043018024, 1.8220313384069078, 2.1722667527196893]"
27,"[8, 7]","[0.46224094211090416, 0.649362348093373]"
28,"[7, 11, 6]","[0.8311369487834712, 1.2679346067348285, 0.35396587998819606]"
29,[6],[1.4851898794206577]
30,"[8, 11]","[1.9320295333628943, 1.854759422778197]"
31,[8],[1.6673556940040264]
32,"[11, 8, 6]","[1.6668201991429026, 0.9254659191376674, 1.1253841496759323]"
33,"[10, 8]","[1.4734806121936446, 0.9802322620834276]"
34,"[9, 10, 11, 7]","[2.1636181207549274, 0.4339956605527894, 0.6347595629850773, 0.7349702807337]"
35,"[7, 8]","[1.3851257217573418, 3.0689229905417923]"
36,"[10, 11, 9]","[2.284138861502745, 3.1673615656456486, 0.5555007511363332]"
37,[9],[1.6152419604982293]
38,[9],[0.6327797566199127]
39,"[8, 9, 10, 11]","[0.6933365116267067, 1.9162499715637744, 2.21425707048614, 1.0873092603993144]"
