,valuation coefficient
0,14.576136916480902
1,16.749441948809825
2,28.27441814312591
3,9.250241912248832
4,186.43889430312757
5,13.37166914159226
6,8.166260901925211
7,9.657106264372752
8,29.489327934038553
9,27.842309462428265
10,24.958830102179913
11,188.85828583017582
12,14.646497063219911
13,20.645028287251055
14,24.90092380967132
15,192.28232494214626
16,11.223573713418174
17,9.228340996497677
18,22.427734943537992
19,16.999147988341036
20,16.460719775594434
21,29.53678442473052
22,18.966246964215603
23,27.963929990943743
24,16.812100206125486
25,24.986837661314706
26,10.91942447366766
27,27.64238885670368
28,14.29069286258288
29,10.464484971752789
30,13.844520596806683
31,22.167766761717456
32,23.33493460967638
33,19.573960800418412
34,11.72350246414349
35,11.626413867006184
36,186.7743681810188
37,9.4375740717072
38,16.378259154212365
39,22.437231319959814
