,valuation coefficient
0,25.701412344432253
1,23.44761442409049
2,27.740883748102096
3,19.510459378241375
4,19.904433110348343
5,29.5657921346397
6,15.992808018957856
7,27.747164975450204
8,15.127101656622239
9,20.57534841530841
10,187.07637258457095
11,24.471467736733434
12,28.928799393381606
13,16.893545114623954
14,26.694774499680815
15,15.382312834656942
16,29.35815673525364
17,27.925422401976615
18,198.12560246017654
19,11.201997979158605
20,29.996586476101847
21,15.638957746073947
22,22.422222177996154
23,21.107830088639872
24,24.506077769698162
25,12.113798861802518
26,185.59406655127498
27,27.051567511964716
28,11.778749345965355
29,12.474425541989493
30,198.85616749421305
31,16.943517889549824
32,19.686494195178533
33,15.921558315747998
34,20.235852638676967
35,10.845303033356231
36,15.764777823498283
37,13.555161359400831
38,26.353724472595758
39,15.582571740355622
