task_Number,endpoints_location,bandwidth_demand
0,[6],[0.6983274838239635]
1,"[6, 10, 7]","[0.7509275414283786, 1.3997296374738204, 1.6949514239368217]"
2,[7],[1.7888549169631014]
3,[8],[0.8267667512266601]
4,"[11, 9]","[0.6977429402170178, 0.033222929821417724]"
5,[8],[0.3714193010562612]
6,"[10, 8, 6, 11]","[0.5338179029227618, 1.464604595256154, 2.597077299428782, 2.1200135581688233]"
7,"[9, 11, 10, 7]","[1.1470755474337264, 1.3561066459167264, 0.9117417973704421, 2.4437289375124913]"
8,"[9, 7, 11, 6]","[1.4963947957136656, 0.5351294972287035, 1.5481742932253961, 2.9783825876591252]"
9,"[6, 10, 9]","[1.2025508659123239, 1.8605577227818608, 2.913173180085302]"
10,"[11, 7, 8, 6]","[1.0283581998876923, 0.4147714090587389, 3.0512990487005265, 0.24954793700253342]"
11,[9],[1.733982490074566]
12,"[11, 10, 8]","[0.2899432368993923, 0.8963254712949108, 3.3350395419909247]"
13,"[11, 10, 7, 6]","[3.43681313603819, 1.3900693069300514, 1.6088642427653004, 0.7406380656196825]"
14,"[10, 9, 11, 6]","[0.6234747218041932, 2.48714626250872, 1.2944757645512568, 0.8076931871846604]"
15,"[7, 9]","[0.35814325343851916, 0.49848203605215324]"
16,"[8, 7, 9]","[2.349300128204545, 0.8781271040609754, 1.192926270371729]"
17,"[11, 8]","[2.8260799000690975, 2.616133924898019]"
18,"[10, 6, 7]","[1.6643679646268486, 1.6991449482101473, 0.4617595834089928]"
19,"[11, 10]","[0.46241210151405576, 0.6703734252328442]"
20,"[9, 10]","[0.6652722270298721, 0.41653808653712776]"
21,[8],[0.14133589841639838]
22,[9],[1.4641862784280961]
23,"[11, 6, 7]","[1.002864117035274, 1.274612435190718, 1.3493775919435582]"
24,[8],[1.4527483697924877]
25,"[7, 10]","[0.11094633839313284, 1.4710375877429074]"
26,"[7, 11, 6, 8]","[0.16345110900700832, 0.6104972413059777, 2.3918439292643057, 1.5734144276879878]"
27,[7],[0.2412205614858287]
28,"[8, 9, 6, 11]","[1.0171459481819602, 1.5382720434374395, 1.602347113061263, 0.6062206004545475]"
29,[9],[1.4176042033186005]
30,"[8, 9, 7, 11]","[1.1184973411467487, 0.8576931362809469, 0.0990475106960993, 0.2686131733968824]"
31,"[10, 8]","[1.5110822442435636, 2.1427708188288666]"
32,"[6, 11]","[1.4394261410064604, 1.4226623142017512]"
33,[11],[2.0267150011381654]
34,"[9, 7]","[3.140017249367021, 1.0811413093327085]"
35,[7],[1.7506968433771284]
36,[11],[0.7789923484009077]
37,[11],[1.000614597895286]
38,"[8, 7, 10, 6]","[0.9889949144670218, 1.4994538273045055, 1.7447201324317754, 1.3375440724845085]"
39,"[10, 6, 9]","[1.4994496515642342, 1.4092231965776891, 2.3733631193681584]"
