,valuation coefficient
0,199.78068559825485
1,12.221109686118266
2,9.498475382944813
3,22.622884869720323
4,22.612180274376918
5,10.654586205994146
6,22.45767936235169
7,25.019900378071615
8,23.392765295321315
9,22.6866178726808
10,11.045640114305876
11,25.0994398937987
12,13.93492894111439
13,20.48344582731969
14,23.271046803428767
15,26.941947883337367
16,27.664003501061785
17,10.490304445232292
18,22.754325589842907
19,196.01098230911634
20,21.925509634129412
21,23.941142899851087
22,17.10693124225739
23,24.059384577148908
24,13.74461758056173
25,8.370929627343596
26,20.683159575876736
27,11.598382432004659
28,21.705117948729985
29,22.24980090121642
30,26.42098101311516
31,25.14842451806909
32,28.666321462707433
33,22.629180939659527
34,183.94392929647185
35,20.98485682477982
36,28.15291762736068
37,11.928827307007538
38,197.57425098476517
39,13.105417050877904
