task_Number,endpoints_location,bandwidth_demand
0,"[10, 8]","[1.0370444074036482, 0.2640703484745699]"
1,"[11, 8, 9]","[0.40464181405526944, 0.6796578064498884, 1.1860553879220779]"
2,"[10, 8, 11]","[1.699776676541891, 0.9583654123861959, 1.5649962038443794]"
3,[9],[0.8231491926001328]
4,[8],[0.32258363066833295]
5,"[8, 6, 7, 10]","[0.7300540612269923, 2.483453112337787, 1.7416907864264386, 1.1851228393776039]"
6,"[11, 9, 8]","[2.3412961864579356, 0.4216008661073618, 2.070241039407273]"
7,"[9, 6, 7, 8]","[0.32238585502743866, 0.7467445915591573, 1.7884899979812077, 1.8178501906437186]"
8,"[10, 7]","[2.2348765272650484, 0.1322303144133825]"
9,"[6, 11, 10, 9]","[0.44004088978387756, 1.9563143677717572, 1.440267768881471, 0.0019965550554350564]"
10,"[10, 8, 7]","[3.0049399257721072, 0.8313540274159597, 0.12414179847817608]"
11,"[6, 11, 9, 10]","[0.3139546771871574, 1.938641578543261, 1.0777029759485433, 0.2775215162386484]"
12,[6],[1.1821677374858002]
13,"[6, 11, 7]","[1.3128919623287543, 0.5090036767358108, 0.8569890111427655]"
14,"[11, 7]","[1.2570474462050716, 2.1127451676575806]"
15,"[6, 10, 9]","[1.882402295667668, 2.0852337758067336, 0.8639945148045809]"
16,"[10, 6, 9]","[1.5240565093878446, 0.46944433777400807, 0.24236248939391525]"
17,"[8, 11, 10, 6]","[1.739863072319445, 1.2502646740283971, 1.628649219286844, 0.08379035899696285]"
18,"[10, 8, 11, 7]","[1.1502003716908646, 0.4660629966367923, 2.098585449785383, 0.5694749764882691]"
19,[8],[0.5054133311209433]
20,"[11, 10, 9, 7]","[0.7781209819982614, 0.6507653408159507, 2.7790014619794094, 4.414531471500149]"
21,"[10, 6, 9, 7]","[1.7941677638821358, 0.1243564356826441, 1.538259250123183, 1.1286173835515705]"
22,"[10, 9, 11, 8]","[0.2662859163857596, 1.97711575045247, 0.8481711148658175, 1.6796886585473259]"
23,"[11, 7, 8]","[1.5763952334367253, 1.416340828573725, 1.1578176625062604]"
24,"[7, 8]","[2.405499253951235, 1.0876233550333725]"
25,"[6, 10, 9]","[1.1658479426354693, 1.314167744606329, 1.396238650936652]"
26,"[9, 7]","[1.5630247772894532, 0.13303863858207488]"
27,"[6, 10, 7]","[0.7739521910619985, 0.23747441510183676, 3.824690657301096]"
28,"[10, 11, 7, 6]","[0.8450120900098617, 0.5370985844135483, 1.8279299769139399, 1.9725209348596136]"
29,"[10, 8, 7, 11]","[0.6899918171033135, 1.7360404631076742, 1.2516134676729127, 1.750868505134459]"
30,[7],[0.035213010008319]
31,[11],[1.7725337437221986]
32,"[8, 11, 10, 7]","[1.8566217930041629, 0.33217659553596735, 1.7698828674113884, 0.02852155811577395]"
33,"[6, 8, 11]","[1.7928445606545806, 0.009101837606725671, 1.8313120881219005]"
34,[8],[1.949668374870697]
35,"[9, 10, 6, 7]","[2.895603354380007, 0.8446054277409742, 1.391572001962027, 2.455813795508112]"
36,"[6, 10]","[1.2268988053083414, 2.324088592813082]"
37,"[9, 11, 7, 6]","[2.539222916148834, 1.836433614914815, 0.5076659836371398, 1.1178913179307655]"
38,"[7, 9]","[0.9109418793536376, 0.4588267550195121]"
39,"[10, 11]","[1.326097015635444, 0.6492880662643054]"
