task_Number,endpoints_location,bandwidth_demand
0,"[10, 8, 7]","[2.3009244778378553, 0.31428966350768217, 1.8005001276497807]"
1,"[6, 8, 7]","[0.9362328260108159, 0.27788896619333603, 1.8909447393787793]"
2,"[9, 10]","[1.4782087908521355, 1.2477764202266417]"
3,"[11, 10]","[0.42571495329779385, 1.2293142064337508]"
4,"[7, 11, 9, 8]","[0.3571348966723831, 0.011184068357113275, 0.9490994410116805, 0.9937841470878929]"
5,"[10, 8, 11]","[0.0768255283625694, 2.838982774171321, 1.556568694495296]"
6,"[10, 8, 7, 11]","[0.6708752829949542, 2.1757632337920008, 2.460632928631217, 2.6313471685154832]"
7,[7],[1.9937968024765442]
8,"[8, 7, 11]","[2.0227004700756135, 1.5198261714096435, 0.9489616443134176]"
9,"[9, 8]","[0.8724062437816046, 2.0618666610264715]"
10,[6],[0.19207477737487078]
11,"[10, 8, 6, 11]","[1.024711471924936, 1.2245104836413094, 0.38096436914343557, 2.2284001238741755]"
12,[10],[0.833138437891187]
13,"[8, 9, 11, 10]","[0.31937343347426794, 1.7327629548259993, 1.591130279399209, 0.3783838404825134]"
14,[7],[0.18442829291009066]
15,[11],[3.1587550745431]
16,"[7, 11, 6, 10]","[1.0361545291390835, 2.001971148820072, 1.0650574256388303, 1.8573661930165883]"
17,[6],[2.4583145718455848]
18,"[8, 7]","[0.18037096881318582, 1.767000444823468]"
19,"[11, 8, 9, 7]","[1.6850548090614161, 1.226511779612157, 0.8524830610254058, 2.2203825015652883]"
20,"[9, 7, 6]","[0.05544437405877556, 0.1759306807419364, 1.2723611431759208]"
21,"[9, 6, 10, 11]","[2.2434325821673626, 1.4351006768117451, 2.500243702453419, 0.12126275176309542]"
22,"[9, 7]","[0.21186880013777665, 1.657208284910232]"
23,"[8, 10, 9]","[1.108615536601959, 0.20509344751460434, 0.21067843912711315]"
24,"[11, 10, 7, 9]","[1.4176550921208093, 1.5709600669957586, 0.26574708530798263, 0.6223782751481022]"
25,"[9, 8]","[1.058087643511365, 1.8519382964956053]"
26,"[7, 10, 6]","[1.4805514307017618, 0.1067344369509029, 0.7980342285331145]"
27,[11],[1.9080012091166343]
28,"[9, 7]","[2.201492911541835, 2.4322355980784014]"
29,"[7, 10]","[1.06444753530664, 1.8797429618136525]"
30,"[10, 9]","[0.5690107003446789, 0.24879958176234718]"
31,"[7, 6, 10]","[0.40588251296611166, 1.3706503243579105, 1.4016209753825937]"
32,"[7, 11, 9]","[1.8553667031913816, 0.3224604510444372, 1.2337180929071194]"
33,"[10, 6, 11]","[1.7824766081964933, 1.9750819851754635, 0.051805483576653266]"
34,"[6, 9, 10, 8]","[1.1002060371999713, 0.548221879333001, 0.9332637945149479, 0.5297174533533531]"
35,[11],[2.5511240204400982]
36,"[10, 11, 7, 6]","[1.022795528010947, 1.0305933511276106, 0.4127207938388717, 1.3081361681806007]"
37,[7],[1.3316277642001704]
38,"[8, 10]","[2.0036263430008763, 1.3209460864600655]"
39,"[8, 10, 7, 9]","[1.0285180307280561, 1.9937803081053849, 2.4334514774654927, 1.2374350932689717]"
