task_Number,endpoints_location,bandwidth_demand
0,[8],[0.9478019685526781]
1,"[10, 11, 8]","[0.6289275942727948, 3.5919219922847194, 0.9702608318503809]"
2,"[8, 7]","[0.5926036030352587, 1.2806294456815026]"
3,"[8, 7]","[1.1048711112581933, 0.8317695042168058]"
4,"[7, 6]","[1.643463089965813, 0.4688952681535594]"
5,"[11, 9, 8, 6]","[1.1145775107110285, 1.6884777938213507, 1.5012804858653361, 0.7015555681581319]"
6,[9],[0.4805454786425726]
7,"[10, 9, 11]","[0.23412496767824964, 0.48573456822122496, 2.9981243261633965]"
8,"[9, 7, 10]","[2.1111733290778583, 0.2166721549239975, 0.38976960302730523]"
9,"[10, 8, 11]","[2.345524891348301, 0.6275998897043177, 0.879702563302713]"
10,"[6, 8, 11]","[1.447579262581187, 1.1430392965452758, 1.936341790048414]"
11,"[8, 7, 9]","[1.781383278560586, 1.321207596858927, 2.5933825487581617]"
12,"[10, 11, 9]","[1.0058684709760661, 1.1779261712437064, 1.3315269486030676]"
13,"[10, 11, 9]","[0.5107072431721487, 1.130812839399516, 1.9428250449096307]"
14,"[10, 8, 6, 11]","[2.014311426005463, 0.3470189347827275, 0.6689170648310081, 1.9101166972033854]"
15,"[9, 8, 10]","[1.1943441160218902, 2.168130507456369, 0.015126710070444749]"
16,"[11, 8]","[0.4395187278868491, 0.13312302454661917]"
17,[10],[0.3571155738750089]
18,"[7, 6, 9, 11]","[0.7974859810825263, 1.3916832296140267, 1.5229714811277026, 2.3818919221985286]"
19,"[8, 10]","[1.8460866620236627, 0.4316879591524153]"
20,"[6, 10]","[1.1214289557270944, 0.10164958131619473]"
21,"[7, 11, 6, 8]","[1.2607138970036869, 0.444021660247472, 0.615442082953435, 1.5371879796437293]"
22,"[7, 8]","[0.7252967119408981, 2.450497985170535]"
23,[11],[0.8175392285331221]
24,"[9, 11, 7]","[1.9196201122400705, 1.004868100556887, 0.2593745815310755]"
25,"[11, 6, 10, 8]","[0.9307463632395574, 1.0142608737576244, 2.4867362531687767, 1.510106324861078]"
26,"[11, 6, 8]","[0.0035776705641603623, 1.3944347085082547, 0.986624767674145]"
27,[10],[1.901426198201185]
28,"[8, 11, 7]","[1.34235670213744, 2.132222661652686, 1.1560467384811464]"
29,"[11, 8]","[2.631500402498325, 1.5803459935710418]"
30,[9],[0.15691504966994652]
31,"[8, 6]","[1.7166272535983969, 0.40533458908924647]"
32,"[6, 11, 9, 10]","[0.519045500102195, 2.5914325603673767, 1.149626850475296, 1.6881044700973067]"
33,"[9, 10, 8, 6]","[0.2178382132808312, 0.6842257289946656, 0.4560517366000614, 1.2171823436204068]"
34,"[7, 6]","[1.9272239575829415, 1.6948303731075978]"
35,[8],[1.4234466000738104]
36,[7],[1.3046126922840933]
37,"[7, 6, 8, 10]","[2.7954104682500236, 0.2721678515939049, 0.7753458232066887, 0.5513821523290103]"
38,[11],[1.9712529477615885]
39,[10],[1.889612846748479]
